title,LWM_GCWI_Comfort_Score,Land Use Mix (LWM Score),Space for Rest (LWM Score),Greenery (LWM Score),Shade (LWM Score),Connectivity (LWM Score),Population Density (LWM Score),Slope (LWM Score),Accessibility
Annemadoo Inc,0.073826864,0.08854562,0.266777732,0.472183952,0.153112298,0.453632787,0.014168901,0.992595539,14.5542285
Bénévolat CABBC (visite d’amitié),0.042531011,0.014109253,0.437855315,0.520273422,0.041597631,0.097343093,0.000759244,0.930022042,1.20691031
Centre d'hébergement Paul-Lizotte,0.067699102,0.020740078,0.248881691,0.382405617,0.059379166,0.283794337,0.016441688,0.963358383,9.889506576
Centre Préventif d'hébergement à la Famille,0.043271055,0.008729228,0.319050044,0.270381576,0.037653294,0.223596719,0.004322141,0.939835812,4.397727844
Chartwell-Québec,0.057206288,0.158555028,0.403433644,0.200330975,0.027883384,0.544761152,0.007000255,0.919549354,81.49525341
Château Vincent d'Indy résidence pour retraités,0.075954223,0.118908524,0.376079819,0.563748188,0.348894866,0.345179758,0.012039059,0.923682937,18.43247258
CHSLD Dante,0.065874368,0.101754649,0.18212858,0.364803348,0.11486465,0.463510443,0.012115606,0.997545558,14.53069176
CHSLD Joseph-François-Perrault (anciennement CHSLD des Quatre-Temps),0.062333712,0.081983759,0.21731348,0.313774504,0.092678749,0.476491363,0.01068988,0.998263917,22.43951079
CHSLD Vigi Reine Elizabeth,0.06154363,0.073797632,0.355035355,0.373155919,0.132489816,0.375092822,0.01016469,0.857666284,25.5451703
Demeures Sainte-Croix Phase III,0.062318452,0.087767674,0.225111008,0.37827667,0.074544358,0.515329527,0.009449421,0.993725464,18.7821819
Familles d'Accueil Thibault Enr,0.064722748,0.059459759,0.288343479,0.321578728,0.04966527,0.545676904,0.011278543,0.983044058,11.89334092
Foyer Hongrois,0.070928477,0.062521217,0.436106813,0.349059576,0.058265374,0.55317159,0.012933678,0.949065267,28.95928024
Groupe Résidences Excellence,0.051711029,0.045520966,0.31909795,0.34024591,0.056527624,0.413120524,0.005147916,0.951204034,4.817160027
Habitations Helene Desportes,0.06162151,0.082077621,0.325625038,0.43053275,0.078233469,0.453663719,0.00807741,0.984043297,27.98346244
Habitations Leman (Les),0.080088045,0.090118282,0.365152782,0.355380326,0.096711229,0.577717601,0.017546034,0.97972185,29.05944058
Habitations Les Deux Ages,0.049205326,0.026011831,0.274502255,0.382063444,0.047214692,0.266159437,0.005306081,1,4.67632599
La résidence L'Alto,0.050016886,0.059719428,0.289137976,0.367686992,0.078702741,0.403316701,0.00370019,0.962608082,12.32307947
